year,n,ch_ret,ch_sh,ch_mdd,m6_ret,m6_sh,m6_mdd,diff,winner
2016,12,0.12394510806328785,1.8703158125521213,-0.02175202793599995,0.15147743698520943,2.3863453424909147,-0.02175202793599995,0.02753232892192159,6M
2017,12,0.1839256940854439,2.2225802115033457,-0.01859999999999995,0.1839256940854439,2.2225802115033457,-0.01859999999999995,0.0,TIE
2018,12,-0.006703802286303295,-0.03836344331530043,-0.139700520532,-0.02050588858783753,-0.12326785650917524,-0.139700520532,-0.013802086301534233,Champion
2019,12,0.08921619498190081,0.7367835826359735,-0.06579999999999997,0.17925488152626956,1.5368623315843088,-0.06579999999999986,0.09003868654436875,6M
2020,12,0.34183295930231683,1.2285835348342595,-0.1251,0.34183295930231683,1.2285835348342595,-0.1251,0.0,TIE
2021,12,0.13921327229490355,1.1565830369919918,-0.05260000000000009,0.16031093046086609,1.3291926675811274,-0.05259999999999998,0.02109765816596254,6M
2022,12,-0.09709926225784216,-0.4077834364994914,-0.2085097731776303,-0.09709926225784216,-0.4077834364994914,-0.2085097731776303,0.0,TIE
2023,12,0.1886301225724809,1.3523849855696732,-0.08609617378000012,0.1886301225724809,1.3523849855696732,-0.08609617378000012,0.0,TIE
2024,12,0.24894006487199527,2.3688280109531585,-0.03970000000000007,0.24894006487199527,2.3688280109531585,-0.03970000000000007,0.0,TIE
2025,12,0.8487256924661393,2.7178876046363407,-0.06466300000000003,0.8487256924661393,2.7178876046363407,-0.06466300000000003,0.0,TIE
2026,3,0.22857806355200005,1.066839535524918,-0.19079999999999997,0.22857806355200005,1.066839535524918,-0.19079999999999997,0.0,TIE
